"V8"	"V9"	"T2_3"	"UCLA_1_1"	"UCLA_1_2"	"UCLA_1_3"	"UCLA_1_4"	"UCLA_1_5"	"UCLA_1_6"	"UCLA_1_7"	"UCLA_1_8"	"UCLA_1_9"	"UCLA_1_10"	"T3_3"	"UCLA_2_1"	"UCLA_2_2"	"UCLA_2_3"	"UCLA_2_4"	"UCLA_2_5"	"UCLA_2_6"	"UCLA_2_7"	"UCLA_2_8"	"UCLA_2_9"	"UCLA_2_10"	"T4_3"	"SLWS_1"	"SLWS_2"	"SLWS_3"	"SLWS_4"	"SLWS_5"	"T5_3"	"SE_1_1"	"SE_1_2"	"SE_1_3"	"SE_1_4"	"SE_1_5"	"SE_1_6"	"SE_1_7"	"SE_1_8"	"SE_1_9"	"SE_1_10"	"SE_2_1"	"SE_2_2"	"SE_2_3"	"SE_2_4"	"SE_2_5"	"SE_2_6"	"SE_2_7"	"SE_2_8"	"SE_2_9"	"SE_2_10"	"T6_3"	"Mood_1"	"Mood_2"	"Mood_3"	"Mood_4"	"Mood_5"	"Mood_6"	"Mood_7"	"Mood_8"	"Mood_9"	"Mood_10"	"Mood_11"	"Mood_12"	"Mood_13"	"Mood_14"	"Mood_15"	"Mood_16"	"T7_3"	"Disc_1"	"Disc_2"	"Disc_3"	"Disc_4"	"T8_3"	"Disc_5"	"Disc_6"	"Disc_7"	"Disc_8"	"Disc_9"	"T9_3"	"DiscR_1"	"DiscR_2"	"DiscR_3"	"DiscR_4"	"T10_3"	"DiscR_5"	"DiscR_6"	"DiscR_7"	"DiscR_8"	"DiscR_9"	"T11_3"	"EIS_1"	"EIS_2"	"EIS_3"	"EIS_4"	"EIS_5"	"EIS_6"	"T12_3"	"Well_B_1"	"Well_B_2"	"Well_B_3"	"Well_B_4"	"Well_B_5"	"Well_B_6"	"Well_B_7"	"Well_B_8"	"Well_B_9"	"Well_B_10"	"T13_3"	"Rau_1"	"Rem_2"	"Rsa_6"	"Rau_7"	"Rem_8"	"Rsa_12"	"Rau_13"	"Rem_14"	"Rsa_18"	"Rau_19"	"Rem_20"	"Rsa_24"	"Rau_25"	"Rem_26"	"Rsa_30"	"Rau_31"	"Rem_32"	"Rsa_36"	"Rau_37"	"Rem_38"	"Rsa_42"	"T14_3"	"Sex"	"Age"	"Ethn_1"	"Ethn_2"	"Ethn_3"	"Ethn_4"	"Ethn_5"	"Ethn_6"	"Ethn_7"	"Ethn_7_TEXT"	"Cntry_Orig"	"Prim_Lang"	"Pol_Ori"	"T15_3"	"Interr"	"Distr"	"Privacy"	"Scrn_Size"	"T16_3"	"Debr"	"T17_3"	"end"	"T18_3"	"Subject"	"UCLA_1_1.rev"	"UCLA_1_5.rev"	"UCLA_1_6.rev"	"UCLA_1_9.rev"	"UCLA_1_10.rev"	"UCLA_2_5.rev"	"UCLA_2_6.rev"	"UCLA_2_9.rev"	"UCLA_2_10.rev"	"UCLA_total"	"SWLS_total"	"SE_total"	"SE_perf"	"SE_social"	"SE_appear"	"Mood_total"	"PD_general"	"PD_race"	"EI_total"	"WellB_total"	"WellB_PA"	"WellB_NA"	"WellR_total"	"WellR_auto"	"WellR_envir"	"WellR_accept"
"12/19/15"	"12/19/15"	2.632	2	2	4	3	3	3	1	3	2	3	350.815	2	2	2	2	1	3	4	1	2	3	16.095	4	4	4	4	4	9.578	3	3	1	4	2	1	1	1	5	3	4	4	4	3	5	5	2	1	1	1	200.483	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	67.406	3	3	2	2	6.751	1	1	1	1	1	98.094	1	1	1	1	56.937	1	1	1	1	1	8.237	5	5	5	5	5	5	18.837	1	1	1	1	1	2	2	2	2	2	479.645	5	3	4	4	2	3	3	5	4	6	5	3	4	3	5	4	3	2	6	5	4	37.068	2	24	NA	1	NA	NA	NA	NA	NA	" "	"USA"	"English"	5	105.898	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	3	2	2	3	2	4	2	3	2	2.45	4	3.3	3.85714285714286	3.28571428571429	2.66666666666667	1.0625	15	9	5	5	5	0	4.90476190476191	5.14285714285714	4.85714285714286	4.71428571428571
"12/19/15"	"12/19/15"	5.912	3	2	3	2	3	3	2	2	3	3	33.451	1	2	2	2	4	3	2	2	1	1	31.983	4	2	5	5	7	12.036	4	3	2	3	1	1	3	3	4	2	4	2	4	3	2	4	2	1	2	3	23.828	2	1	2	2	2	3	1	1	1	1	1	1	1	3	1	1	19.395	6	6	2	2	12.962	2	2	6	5	2	14.841	5	4	2	2	9.785	2	2	5	2	2	12.517	3	3	2	2	8	3	14.545	1	1	1	1	1	2	2	2	2	1	24.49	5	3	5	3	2	5	4	6	5	3	3	4	6	2	2	3	5	4	4	2	2	16.083	1	32	NA	1	NA	NA	NA	NA	NA	" "	"USA"	"English"	7	16.023	1	1	1	1	14.115	1	2.793	NA	NA	45	2	2	2	2	2	1	2	4	4	2.15	4.6	3.25	4	3.28571428571429	2.33333333333333	1.5	33	26	6.5	4	5	1	4.76190476190476	5.42857142857143	3.85714285714286	5
"12/19/15"	"12/19/15"	7.055	2	1	2	2	3	3	2	3	2	3	112.57	2	2	2	2	4	3	2	2	2	3	80.538	3	3	6	6	3	21.348	4	3	1	3	1	3	4	4	5	2	3	2	3	5	3	4	4	1	3	5	47.386	4	2	3	3	1	4	2	4	3	2	4	4	2	4	2	1	42.028	3	4	4	2	27	4	4	3	2	2	31.906	3	4	4	3	357.356	2	2	1	4	2	53.984	8	3	3	5	7	6	31.265	1	2	1	1	1	1	1	1	1	2	43.889	2	5	2	2	5	4	4	2	5	4	4	4	4	2	5	2	2	4	4	4	4	31.723	1	25	NA	NA	NA	NA	NA	NA	1	"White"	"United States"	"English"	5	64.415	2	1	1	1	25.173	1	4.242	NA	NA	48	3	2	2	3	2	1	2	3	2	2.1	4.2	3.05	4.28571428571429	2.57142857142857	2.16666666666667	2.8125	28	25	5.33333333333333	0	4	4	4.95238095238095	4.57142857142857	6	4.28571428571429
"12/19/15"	"12/19/15"	5.146	2	4	4	4	1	3	4	3	1	1	47.836	4	3	4	4	1	1	4	1	1	1	49.196	4	5	6	5	3	69.099	5	3	5	2	1	4	2	1	4	1	5	4	1	5	1	1	2	2	1	2	42.607	1	1	3	1	1	1	1	1	1	1	1	1	1	2	1	1	27.869	3	1	2	3	28.08	2	3	4	3	1	33.432	2	2	2	3	42.538	1	3	4	2	1	25.894	6	2	7	5	9	7	40.598	1	1	1	2	1	2	2	2	2	2	40.249	6	5	4	3	1	5	2	5	5	2	2	5	2	5	2	2	5	2	3	6	5	30.714	1	33	NA	1	NA	NA	NA	NA	NA	" "	"USA"	"English"	2	36.638	1	1	1	2	17.441	1	4.437	NA	NA	51	3	4	2	4	4	4	4	4	4	3.6	4.6	4.5	4.57142857142857	4.42857142857143	4.5	1.1875	22	20	5.33333333333333	4	4	0	5.09523809523809	5.42857142857143	4.14285714285714	5.71428571428571
"12/20/15"	"12/20/15"	1.475	1	2	3	3	3	4	4	4	1	1	8.995	3	3	2	2	2	3	3	2	3	4	9.395	6	1	6	1	6	4.689	2	3	4	3	2	4	4	3	3	4	1	2	3	3	3	2	3	3	3	1	7.492	5	2	3	4	4	4	4	3	2	4	4	3	4	4	4	4	13.193	2	3	5	4	8.029	3	2	4	5	5	9.363	4	4	4	3	6.976	6	6	3	5	1	9.846	7	7	1	7	7	7	7.176	2	1	1	2	2	2	1	1	1	1	9.128	5	1	6	1	6	5	5	5	3	4	4	1	5	5	1	5	1	5	1	5	6	7.443	1	21	NA	NA	NA	NA	NA	NA	1	"white"	"United staes"	"english"	9	29.55	1	1	1	1	11.326	1	4.873	NA	NA	53	4	2	1	4	4	3	2	2	1	2.7	4	3	3	3.14285714285714	2.83333333333333	3.625	33	36	5.33333333333333	-2	2	4	4.85714285714286	4	5	5.57142857142857
"12/19/15"	"12/19/15"	3.124	2	3	3	3	2	2	3	2	2	2	289.708	2	4	4	4	1	2	2	2	2	2	110.53	6	6	6	7	7	26.683	3	2	2	3	1	3	2	2	3	1	4	3	1	3	1	1	1	1	2	1	65.154	3	3	4	2	2	3	1	2	2	2	1	2	1	3	1	1	37.205	3	3	1	1	23.274	3	1	5	3	3	21.011	1	1	1	1	16.991	1	1	1	1	1	14.842	3	1	3	8	6	3	97.506	1	1	1	1	1	1	1	1	1	1	20.644	5	5	5	6	4	6	3	6	2	1	6	6	6	4	2	1	1	1	6	6	3	209.301	2	28	NA	1	NA	NA	NA	NA	NA	" "	"United States"	"English"	7	31.365	1	1	1	1	60.977	1	5.938	NA	NA	57	3	3	3	3	3	4	3	3	3	3	6.4	4	3.71428571428571	4.71428571428571	3.5	2.0625	23	9	7.33333333333333	0	5	5	6.33333333333333	6.85714285714286	5.71428571428571	6.42857142857143
"12/19/15"	"12/19/15"	2.955	3	3	4	4	2	3	3	1	1	2	32.952	3	3	3	3	3	1	3	3	2	2	28.884	4	5	4	4	2	40.679	5	1	2	1	1	4	4	3	5	3	5	4	2	5	1	1	1	1	1	1	20.68	3	3	3	2	2	3	1	2	2	2	2	2	1	1	1	1	41.349	3	3	3	1	14.367	3	1	2	1	1	17.378	1	1	1	1	13.659	1	1	1	1	1	13.944	6	4	4	5	7	2	26.771	1	1	1	1	1	2	2	2	2	1	42.741	5	4	3	4	3	6	1	3	5	3	4	6	6	1	1	1	3	4	6	3	4	26.41	2	41	NA	1	NA	NA	NA	NA	NA	" "	"United States"	"English"	4	19.443	1	1	1	1	16.761	1	6.461	NA	NA	58	2	3	2	4	3	2	4	3	3	2.95	3.8	4.35	5	4.28571428571429	3.66666666666667	1.9375	18	9	6	4	5	1	5.80952380952381	6.57142857142857	5.28571428571429	5.57142857142857
"12/19/15"	"12/19/15"	7.958	2	3	3	3	2	3	3	3	1	1	41.668	2	3	2	2	2	2	2	2	2	2	44.917	5	5	5	6	3	20.389	4	1	3	1	1	2	2	2	4	1	4	3	2	4	1	1	1	1	1	2	29.246	2	1	2	1	1	1	1	1	2	2	1	2	1	1	1	1	30.952	2	2	2	2	14.081	1	1	1	1	1	14.551	2	2	2	2	13.076	1	1	1	1	1	12.743	3	3	2	7	7	2	27.417	1	1	1	1	1	1	2	2	2	2	23.601	3	4	5	5	3	5	2	2	2	1	4	5	6	4	2	4	3	1	6	4	5	29.144	1	52	NA	1	NA	NA	NA	NA	NA	" "	"UK"	"Englsih"	3	20.467	1	1	1	1	11.788	1	7.849	NA	NA	60	3	3	2	4	4	3	3	3	3	2.8	4.8	4.25	4.57142857142857	4.57142857142857	3.5	1.3125	13	13	7.33333333333333	4	5	1	5.90476190476191	6.14285714285714	5.14285714285714	6.42857142857143
"12/20/15"	"12/20/15"	3.776	2	3	3	3	1	1	3	1	1	1	45.788	3	4	3	3	2	2	2	3	2	2	36.293	5	5	6	7	6	19.182	4	1	3	3	1	5	3	3	4	1	5	3	1	4	1	1	1	1	1	1	26.468	2	1	2	1	1	1	1	1	2	1	1	1	1	2	2	1	25.173	3	3	3	3	15.266	3	3	3	3	3	11.485	4	4	4	4	12.02	3	4	4	3	3	12.754	7	7	7	1	2	8	26.482	1	1	1	1	1	2	1	1	2	1	41.16	6	5	5	6	3	6	3	2	2	2	5	5	5	3	1	1	1	1	5	4	5	18.869	2	31	NA	NA	NA	NA	NA	NA	1	"American"	"US"	"English"	9	32.15	1	1	1	2	26.833	1	9.393	NA	NA	62	3	4	4	4	4	3	3	3	3	3.1	5.8	4.35	4.28571428571429	4.71428571428571	4	1.3125	27	33	2.33333333333333	2	5	3	6.38095238095238	6.57142857142857	5.85714285714286	6.71428571428571
"12/19/15"	"12/19/15"	3.454	1	4	4	4	4	4	4	2	1	2	138.657	4	4	4	4	4	2	2	3	1	1	79.677	2	7	7	6	7	54.363	5	1	3	1	1	4	3	1	5	3	5	5	1	5	1	1	1	3	3	1	58.994	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	38.301	1	1	1	1	78.868	2	1	1	1	1	51.324	1	1	1	1	27.94	1	1	1	1	1	34.33	8	1	1	6	3	2	60.579	2	2	2	2	2	2	2	2	2	2	53.269	6	6	6	6	4	6	1	1	1	6	6	6	6	1	1	1	1	1	6	2	1	80.408	1	49	NA	1	NA	NA	NA	NA	NA	" "	"USA"	"English"	2	67.646	1	1	1	1	50.882	1	10.801	NA	NA	68	4	1	1	4	3	1	3	4	4	3.2	5.8	4.45	4.42857142857143	4.71428571428571	4.16666666666667	1	10	9	6.16666666666667	0	0	0	6.52380952380952	6.57142857142857	6.42857142857143	6.57142857142857
