"V8"	"V9"	"T2_3"	"UCLA_1_1"	"UCLA_1_2"	"UCLA_1_3"	"UCLA_1_4"	"UCLA_1_5"	"UCLA_1_6"	"UCLA_1_7"	"UCLA_1_8"	"UCLA_1_9"	"UCLA_1_10"	"T3_3"	"UCLA_2_1"	"UCLA_2_2"	"UCLA_2_3"	"UCLA_2_4"	"UCLA_2_5"	"UCLA_2_6"	"UCLA_2_7"	"UCLA_2_8"	"UCLA_2_9"	"UCLA_2_10"	"T4_3"	"SLWS_1"	"SLWS_2"	"SLWS_3"	"SLWS_4"	"SLWS_5"	"T5_3"	"SE_1_1"	"SE_1_2"	"SE_1_3"	"SE_1_4"	"SE_1_5"	"SE_1_6"	"SE_1_7"	"SE_1_8"	"SE_1_9"	"SE_1_10"	"SE_2_1"	"SE_2_2"	"SE_2_3"	"SE_2_4"	"SE_2_5"	"SE_2_6"	"SE_2_7"	"SE_2_8"	"SE_2_9"	"SE_2_10"	"T6_3"	"Mood_1"	"Mood_2"	"Mood_3"	"Mood_4"	"Mood_5"	"Mood_6"	"Mood_7"	"Mood_8"	"Mood_9"	"Mood_10"	"Mood_11"	"Mood_12"	"Mood_13"	"Mood_14"	"Mood_15"	"Mood_16"	"T7_3"	"Disc_1"	"Disc_2"	"Disc_3"	"Disc_4"	"T8_3"	"Disc_5"	"Disc_6"	"Disc_7"	"Disc_8"	"Disc_9"	"T9_3"	"DiscR_1"	"DiscR_2"	"DiscR_3"	"DiscR_4"	"T10_3"	"DiscR_5"	"DiscR_6"	"DiscR_7"	"DiscR_8"	"DiscR_9"	"T11_3"	"EIS_1"	"EIS_2"	"EIS_3"	"EIS_4"	"EIS_5"	"EIS_6"	"T12_3"	"Well_B_1"	"Well_B_2"	"Well_B_3"	"Well_B_4"	"Well_B_5"	"Well_B_6"	"Well_B_7"	"Well_B_8"	"Well_B_9"	"Well_B_10"	"T13_3"	"Rau_1"	"Rem_2"	"Rsa_6"	"Rau_7"	"Rem_8"	"Rsa_12"	"Rau_13"	"Rem_14"	"Rsa_18"	"Rau_19"	"Rem_20"	"Rsa_24"	"Rau_25"	"Rem_26"	"Rsa_30"	"Rau_31"	"Rem_32"	"Rsa_36"	"Rau_37"	"Rem_38"	"Rsa_42"	"T14_3"	"Sex"	"Age"	"Ethn_1"	"Ethn_2"	"Ethn_3"	"Ethn_4"	"Ethn_5"	"Ethn_6"	"Ethn_7"	"Ethn_7_TEXT"	"Cntry_Orig"	"Prim_Lang"	"Pol_Ori"	"T15_3"	"Interr"	"Distr"	"Privacy"	"Scrn_Size"	"T16_3"	"Debr"	"T17_3"	"end"	"T18_3"	"Subject"	"UCLA_1_1.rev.x"	"UCLA_1_5.rev.x"	"UCLA_1_6.rev.x"	"UCLA_1_9.rev.x"	"UCLA_1_10.rev.x"	"UCLA_2_5.rev.x"	"UCLA_2_6.rev.x"	"UCLA_2_9.rev.x"	"UCLA_2_10.rev.x"	"UCLA_total.x"	"SWLS_total"	"SE_total"	"SE_perf"	"SE_social"	"SE_appear"	"Mood_total"	"PD_general"	"PD_race"	"EI_total"	"WellB_total"	"WellB_PA"	"WellB_NA"	"WellR_total"	"WellR_auto"	"WellR_envir"	"WellR_accept"	"UCLA_1_1.rev.y"	"UCLA_1_5.rev.y"	"UCLA_1_6.rev.y"	"UCLA_1_9.rev.y"	"UCLA_1_10.rev.y"	"UCLA_2_5.rev.y"	"UCLA_2_6.rev.y"	"UCLA_2_9.rev.y"	"UCLA_2_10.rev.y"	"UCLA_total.y"	"SWLS_total"	"SE_total"	"SE_perf"	"SE_social"	"SE_appear"	"Mood_total"	"PD_general"	"PD_race"	"EI_total"	"WellB_total"	"WellB_PA"	"WellB_NA"	"WellR_total"	"WellR_auto"	"WellR_envir"	"WellR_accept"
"12/19/15"	"12/19/15"	8.565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	3	3	2	1	3	2	2	4	2	4	4	3	5	2	3	2	1	2	2	48.571	2	2	2	3	3	2	2	3	3	2	2	1	1	3	2	1	53.702	3	3	2	2	17.489	1	1	2	2	3	34.564	1	1	1	1	59.916	1	1	1	1	1	11.314	6	6	6	3	2	7	22.575	1	1	1	1	1	1	1	1	1	1	21.374	5	5	5	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" "	" "	" "	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.95	4.57142857142857	3.71428571428571	3.5	2.125	19	9	3.33333333333333	0	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.95	4.57142857142857	3.71428571428571	3.5	2.125	19	9	3.33333333333333	0	5	5	NA	NA	NA	NA
"12/21/15"	"12/21/15"	8.668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	5	5	6	5	18.842	3	4	2	1	1	3	3	2	3	2	3	2	3	3	2	2	4	3	2	2	24.105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	1	3	24.074	3	1	4	3	1	17.612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	6	5	6	4	4	31.657	2	2	2	2	2	1	1	1	1	1	20.427	4	4	3	4	4	4	5	3	4	3	4	4	5	4	4	3	4	4	4	4	4	21.226	NA	NA	NA	NA	NA	NA	NA	NA	NA	" "	" "	" "	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.2	3.3	3.71428571428571	3.28571428571429	2.83333333333333	NA	20	NA	4.83333333333333	-5	0	5	4.95238095238095	5.14285714285714	5	4.71428571428571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.2	3.3	3.71428571428571	3.28571428571429	2.83333333333333	NA	20	NA	4.83333333333333	-5	0	5	4.95238095238095	5.14285714285714	5	4.71428571428571
"12/21/15"	"12/21/15"	12.962	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	6	6	6	6	44.978	5	1	5	1	1	1	1	1	5	1	5	5	1	5	1	1	1	1	1	1	53.695	1	3	4	1	2	1	1	2	3	1	1	1	1	1	1	1	77.027	2	2	2	2	50.395	1	1	6	1	1	44.947	2	2	2	2	27.132	1	2	6	1	1	34.504	6	4	4	6	7	6	69.859	1	1	1	1	2	2	2	2	2	2	56.079	6	6	6	6	1	6	1	1	1	1	6	6	6	1	1	1	1	1	6	6	6	61.693	NA	NA	NA	NA	NA	NA	NA	NA	NA	" "	" "	" "	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.6	4.8	5	5	4.33333333333333	1.5625	18	19	5.5	4	4	0	7.04761904761905	7.28571428571429	6.57142857142857	7.28571428571429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.6	4.8	5	5	4.33333333333333	1.5625	18	19	5.5	4	4	0	7.04761904761905	7.28571428571429	6.57142857142857	7.28571428571429
"12/19/15"	"12/19/15"	5.608	1	3	4	4	1	1	4	3	1	1	33.576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	6	6	6	6	12.727	4	1	3	1	1	4	3	1	4	1	4	3	1	4	1	1	3	1	1	1	23.158	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	29.256	3	2	3	1	31.646	2	1	3	1	1	19.132	2	2	2	2	12.356	2	2	3	1	1	15.485	8	8	8	2	2	8	20.918	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	5	5	5	2	5	2	2	5	4	5	5	5	2	2	2	2	2	5	5	5	20.013	NA	NA	NA	NA	NA	NA	NA	NA	NA	" "	" "	" "	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	4	4	4	4	4	NA	NA	NA	NA	NA	6	4.35	4.57142857142857	4.71428571428571	3.66666666666667	1.1875	17	17	2	NA	NA	NA	5.90476190476191	6	5.85714285714286	5.85714285714286	4	4	4	4	4	NA	NA	NA	NA	NA	6	4.35	4.57142857142857	4.71428571428571	3.66666666666667	1.1875	17	17	2	NA	NA	NA	5.90476190476191	6	5.85714285714286	5.85714285714286
"12/22/15"	"12/22/15"	16.177	1	2	2	4	2	2	2	3	2	2	97.981	2	3	2	2	2	1	4	2	1	1	78.732	3	3	3	5	2	57.634	4	4	3	4	1	4	3	4	5	2	5	4	1	5	1	2	4	1	2	2	64	2	3	3	3	2	4	1	2	3	1	2	2	2	2	2	1	81.67	3	3	2	2	75.138	4	3	3	1	1	53.129	2	3	2	2	44.384	2	2	3	1	1	39.433	7	7	8	3	2	8	60.536	1	1	1	1	1	2	2	1	1	2	60.524	5	2	5	5	5	6	2	2	5	5	5	5	5	6	4	2	4	3	5	5	4	93.954	NA	NA	NA	NA	NA	NA	NA	NA	NA	" "	" "	" "	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	4	3	3	3	3	3	4	4	4	2.95	3.2	3.85	4.28571428571429	3.42857142857143	3.83333333333333	2.1875	22	18	2.5	3	5	2	5.42857142857143	5.85714285714286	5	5.42857142857143	4	3	3	3	3	3	4	4	4	2.95	3.2	3.85	4.28571428571429	3.42857142857143	3.83333333333333	2.1875	22	18	2.5	3	5	2	5.42857142857143	5.85714285714286	5	5.42857142857143
"12/19/15"	"12/19/15"	55.693	2	2	1	1	3	2	2	2	2	3	146.925	1	2	1	3	3	3	4	2	4	4	127.908	5	2	3	6	3	91.471	3	1	1	2	1	2	5	4	3	2	2	1	3	4	3	1	3	4	3	2	78.783	4	4	3	2	3	3	1	1	4	2	1	1	1	1	1	1	117.377	5	5	3	4	47.1	1	1	3	2	2	63.953	2	3	2	2	64.562	1	1	3	2	2	61.136	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	1	1	1	104.942	6	2	3	6	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" "	" "	" "	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	3	2	3	3	2	2	2	1	1	2	3.8	3	3.42857142857143	3.42857142857143	2	2.0625	26	18	NA	-5	0	5	NA	NA	NA	NA	3	2	3	3	2	2	2	1	1	2	3.8	3	3.42857142857143	3.42857142857143	2	2.0625	26	18	NA	-5	0	5	NA	NA	NA	NA
"12/19/15"	"12/19/15"	2.632	2	2	4	3	3	3	1	3	2	3	350.815	2	2	2	2	1	3	4	1	2	3	16.095	4	4	4	4	4	9.578	3	3	1	4	2	1	1	1	5	3	4	4	4	3	5	5	2	1	1	1	200.483	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	67.406	3	3	2	2	6.751	1	1	1	1	1	98.094	1	1	1	1	56.937	1	1	1	1	1	8.237	5	5	5	5	5	5	18.837	1	1	1	1	1	2	2	2	2	2	479.645	5	3	4	4	2	3	3	5	4	6	5	3	4	3	5	4	3	2	6	5	4	37.068	2	24	NA	1	NA	NA	NA	NA	NA	" "	"USA"	"English"	5	105.898	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	3	2	2	3	2	4	2	3	2	2.45	4	3.3	3.85714285714286	3.28571428571429	2.66666666666667	1.0625	15	9	5	5	5	0	4.90476190476191	5.14285714285714	4.85714285714286	4.71428571428571	3	2	2	3	2	4	2	3	2	2.45	4	3.3	3.85714285714286	3.28571428571429	2.66666666666667	1.0625	15	9	5	5	5	0	4.90476190476191	5.14285714285714	4.85714285714286	4.71428571428571
"12/19/15"	"12/19/15"	42.42	2	3	2	2	2	3	4	4	2	3	69.132	2	1	2	2	2	2	3	3	2	4	47.881	3	2	5	3	1	58.312	3	2	2	3	1	3	3	5	3	2	2	3	2	4	2	3	3	1	2	2	102.632	4	3	2	2	2	3	1	2	1	2	1	1	1	3	2	3	93.911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	2	2	2	1	1	1	1	1	75.488	4	4	2	3	5	1	3	2	5	4	4	3	4	3	2	4	2	5	4	2	3	55.588	NA	NA	NA	NA	NA	NA	NA	NA	NA	" "	" "	" "	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34	3	3	2	3	2	3	3	3	1	2.55	2.8	3.35	3.85714285714286	3.42857142857143	2.66666666666667	2.0625	NA	NA	NA	-3	2	5	4.71428571428571	4.85714285714286	5.42857142857143	3.85714285714286	3	3	2	3	2	3	3	3	1	2.55	2.8	3.35	3.85714285714286	3.42857142857143	2.66666666666667	2.0625	NA	NA	NA	-3	2	5	4.71428571428571	4.85714285714286	5.42857142857143	3.85714285714286
"12/21/15"	"12/21/15"	14.449	2	2	3	4	2	2	3	3	1	2	121.858	3	3	3	4	2	3	4	2	2	2	130.964	5	5	4	6	3	49.647	4	2	3	2	1	4	1	2	4	1	4	4	1	4	1	2	3	1	1	1	72.017	2	1	2	1	1	2	1	1	1	1	1	1	1	2	1	1	38.868	4	3	1	2	53.804	1	2	3	2	1	37.205	2	2	1	2	25.328	2	2	3	1	1	42.697	6	4	5	6	7	4	211.029	1	1	1	2	1	2	2	2	2	2	47.366	5	5	5	6	3	6	2	1	2	2	5	5	5	4	2	1	2	1	6	5	5	55.819	NA	NA	NA	NA	NA	NA	NA	NA	NA	" "	" "	" "	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36	3	3	3	4	3	3	2	3	3	3.05	4.6	4.3	4.42857142857143	4.42857142857143	4	1.25	19	16	5.66666666666667	4	4	0	6.38095238095238	6.71428571428571	5.85714285714286	6.57142857142857	3	3	3	4	3	3	2	3	3	3.05	4.6	4.3	4.42857142857143	4.42857142857143	4	1.25	19	16	5.66666666666667	4	4	0	6.38095238095238	6.71428571428571	5.85714285714286	6.57142857142857
"12/23/15"	"12/23/15"	21.666	2	3	2	2	4	3	2	2	2	4	104.104	2	2	2	2	1	3	1	2	3	4	80.433	1	1	1	5	1	89.252	4	3	4	3	1	3	1	2	5	3	4	4	3	4	1	1	2	1	2	3	83.066	4	3	3	3	3	3	3	3	3	3	1	3	3	3	3	3	101.304	2	2	2	3	58.916	3	3	3	2	2	55.49	3	3	3	3	44.858	3	3	3	2	2	108.476	5	5	5	8	8	7	48.589	1	1	1	1	1	2	1	1	1	1	57.503	6	6	2	5	5	5	5	2	4	3	5	4	4	5	5	2	4	4	4	4	4	75.109	1	43	NA	NA	1	NA	NA	NA	NA	" "	"USA"	"English"	7	62.497	1	1	1	1	44.71	NA	NA	NA	NA	37	3	1	2	3	1	4	2	2	1	2.05	1.8	4	4.28571428571429	3.57142857142857	4.16666666666667	2.9375	22	25	5.66666666666667	1	5	4	5.23809523809524	5.57142857142857	5.57142857142857	4.57142857142857	3	1	2	3	1	4	2	2	1	2.05	1.8	4	4.28571428571429	3.57142857142857	4.16666666666667	2.9375	22	25	5.66666666666667	1	5	4	5.23809523809524	5.57142857142857	5.57142857142857	4.57142857142857
