"V8"	"V9"	"T2_3"	"UCLA_1_1"	"UCLA_1_2"	"UCLA_1_3"	"UCLA_1_4"	"UCLA_1_5"	"UCLA_1_6"	"UCLA_1_7"	"UCLA_1_8"	"UCLA_1_9"	"UCLA_1_10"	"T3_3"	"UCLA_2_1"	"UCLA_2_2"	"UCLA_2_3"	"UCLA_2_4"	"UCLA_2_5"	"UCLA_2_6"	"UCLA_2_7"	"UCLA_2_8"	"UCLA_2_9"	"UCLA_2_10"	"T4_3"	"SLWS_1"	"SLWS_2"	"SLWS_3"	"SLWS_4"	"SLWS_5"	"T5_3"	"SE_1_1"	"SE_1_2"	"SE_1_3"	"SE_1_4"	"SE_1_5"	"SE_1_6"	"SE_1_7"	"SE_1_8"	"SE_1_9"	"SE_1_10"	"SE_2_1"	"SE_2_2"	"SE_2_3"	"SE_2_4"	"SE_2_5"	"SE_2_6"	"SE_2_7"	"SE_2_8"	"SE_2_9"	"SE_2_10"	"T6_3"	"Mood_1"	"Mood_2"	"Mood_3"	"Mood_4"	"Mood_5"	"Mood_6"	"Mood_7"	"Mood_8"	"Mood_9"	"Mood_10"	"Mood_11"	"Mood_12"	"Mood_13"	"Mood_14"	"Mood_15"	"Mood_16"	"T7_3"	"Disc_1"	"Disc_2"	"Disc_3"	"Disc_4"	"T8_3"	"Disc_5"	"Disc_6"	"Disc_7"	"Disc_8"	"Disc_9"	"T9_3"	"DiscR_1"	"DiscR_2"	"DiscR_3"	"DiscR_4"	"T10_3"	"DiscR_5"	"DiscR_6"	"DiscR_7"	"DiscR_8"	"DiscR_9"	"T11_3"	"EIS_1"	"EIS_2"	"EIS_3"	"EIS_4"	"EIS_5"	"EIS_6"	"T12_3"	"Well_B_1"	"Well_B_2"	"Well_B_3"	"Well_B_4"	"Well_B_5"	"Well_B_6"	"Well_B_7"	"Well_B_8"	"Well_B_9"	"Well_B_10"	"T13_3"	"Rau_1"	"Rem_2"	"Rsa_6"	"Rau_7"	"Rem_8"	"Rsa_12"	"Rau_13"	"Rem_14"	"Rsa_18"	"Rau_19"	"Rem_20"	"Rsa_24"	"Rau_25"	"Rem_26"	"Rsa_30"	"Rau_31"	"Rem_32"	"Rsa_36"	"Rau_37"	"Rem_38"	"Rsa_42"	"T14_3"	"Sex"	"Age"	"Ethn_1"	"Ethn_2"	"Ethn_3"	"Ethn_4"	"Ethn_5"	"Ethn_6"	"Ethn_7"	"Ethn_7_TEXT"	"Cntry_Orig"	"Prim_Lang"	"Pol_Ori"	"T15_3"	"Interr"	"Distr"	"Privacy"	"Scrn_Size"	"T16_3"	"Debr"	"T17_3"	"end"	"T18_3"	"Subject"	"UCLA_1_2.rev"	"UCLA_1_3.rev"	"UCLA_1_4.rev"	"UCLA_1_7.rev"	"UCLA_1_8.rev"	"UCLA_2_1.rev"	"UCLA_2_2.rev"	"UCLA_2_3.rev"	"UCLA_2_4.rev"	"UCLA_2_7.rev"	"UCLA_2_8.rev"	"UCLA_total"	"UCLA_sub"	"SWLS_total"	"SE_total"	"SE_perf"	"SE_social"	"SE_appear"	"Mood_total"	"PD_general"	"PD_race"	"EIS_1.rev"	"EIS_2.rev"	"EIS_3.rev"	"EIS_6.rev"	"EI_total"	"WellB_total"	"WellB_PA"	"WellB_NA"	"WellR_total"	"WellR_auto"	"WellR_envir"	"WellR_accept"
"12/23/15"	"12/23/15"	2.433	2	3	2	3	3	2	4	3	1	1	51.427	3	3	3	3	2	3	3	3	3	3	17.309	5	5	5	6	5	13.243	4	1	3	1	1	5	1	1	4	1	4	4	2	3	1	1	1	3	1	1	22.779	1	2	2	2	2	2	1	1	2	2	2	2	1	2	1	1	59.115	2	2	1	1	12.943	4	2	2	1	1	14.825	1	1	1	1	9.409	3	3	3	1	1	21.372	8	8	8	8	7	6	31.435	1	1	1	1	1	2	2	1	1	1	64.92	1	5	5	5	5	5	3	2	4	2	5	5	5	5	2	1	5	5	5	5	6	19.447	2	28	1	NA	NA	NA	NA	NA	NA	" "	"usa"	"english"	5	14.293	1	1	1	1	9.531	1	1.951	NA	NA	42	2	3	2	1	2	2	2	2	2	2	2	2.1	2.5	5.2	4.45	4.14285714285714	4.85714285714286	4.33333333333333	1.625	16	15	2	2	2	4	4.16666666666667	2	5	3	5.61904761904762	5.71428571428571	5.42857142857143	5.71428571428571
"12/19/15"	"12/19/15"	7.574	2	3	2	2	2	1	2	2	2	2	65.365	2	2	1	1	2	2	2	2	2	2	43.745	5	5	6	5	4	28.193	4	2	3	2	1	2	2	3	4	3	4	3	2	4	2	2	2	2	3	2	35.237	2	2	2	4	3	4	4	4	4	2	2	2	2	5	4	4	31.647	5	5	5	5	21.49	4	5	5	3	3	20.891	5	5	5	5	16.875	4	5	5	4	3	17.866	6	6	6	3	6	6	29.394	1	1	1	2	1	1	1	1	1	1	39.884	3	2	4	5	3	4	2	3	5	2	4	5	5	5	2	6	2	5	5	5	4	30.091	2	24	1	1	NA	NA	NA	NA	NA	" "	"U.S.A"	"English"	6	19.577	1	1	1	1	12.062	1	2.678	NA	NA	44	2	3	3	3	3	3	3	4	4	3	3	2.55	2.5	5	3.7	4	3.71428571428571	3.33333333333333	3.125	40	41	4	4	4	4	4.16666666666667	-1	4	5	5.09523809523809	5.42857142857143	4.85714285714286	5
"12/21/15"	"12/21/15"	2.662	2	3	3	3	2	2	2	2	2	2	32.191	2	2	3	3	2	3	3	2	2	2	28.529	5	5	5	5	4	13.643	3	2	4	2	2	3	1	1	3	1	4	4	1	4	1	1	1	1	1	1	19.572	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	24.893	3	3	3	3	17.412	1	3	3	1	1	17.934	3	3	3	3	10.603	1	3	3	1	1	20.271	7	6	7	2	4	4	25.692	1	1	1	2	1	2	2	1	2	2	24.865	3	4	4	3	3	5	2	2	3	3	5	5	4	3	2	3	3	4	5	5	5	28.003	2	30	1	NA	NA	NA	NA	NA	NA	" "	"brazil"	"[prtuguese"	5	28.888	1	1	1	1	10.535	1	4.3	NA	NA	49	2	2	2	3	3	3	3	2	2	2	3	2.3	2.16666666666667	4.8	4.35	4	4.85714285714286	4.16666666666667	1	21	21	3	4	3	6	3.66666666666667	3	4	1	5.52380952380952	5.28571428571429	5.57142857142857	5.71428571428571
"12/19/15"	"12/19/15"	9.699	2	2	2	2	3	2	2	2	1	2	40.09	3	3	2	2	2	2	2	2	1	2	57.142	2	2	2	2	3	20.227	4	2	4	3	3	3	1	3	3	3	3	5	1	3	3	2	4	2	3	1	77.949	5	3	4	3	2	4	1	3	3	3	1	3	2	2	4	1	109.343	2	3	1	1	27.237	1	1	4	3	2	74.44	1	1	1	1	13.67	1	1	3	1	1	15.444	4	6	6	2	2	5	69.33	2	2	1	2	2	2	1	1	1	2	32.571	5	2	3	6	5	4	1	4	5	3	5	6	5	4	3	4	4	5	6	3	6	34.787	2	32	1	1	NA	NA	NA	NA	NA	" "	"United States"	"English"	7	27.801	1	1	1	2	19.997	1	8.503	NA	NA	61	3	3	3	3	3	2	2	3	3	3	3	2.4	2.33333333333333	2.2	3.6	3.28571428571429	3.57142857142857	4	2.75	18	11	6	4	4	5	3.83333333333333	-2	1	3	5.38095238095238	6.28571428571429	4.71428571428571	5.14285714285714
"12/21/15"	"12/21/15"	9.088	2	1	2	2	3	2	2	1	2	3	54.08	1	2	1	2	1	3	4	1	2	4	58.875	5	4	5	6	5	37.67	5	1	3	1	2	4	2	1	5	2	4	3	1	5	1	1	3	2	2	2	45.697	2	2	3	2	2	3	3	4	2	1	2	1	1	3	2	1	49.026	4	3	1	2	38.951	4	1	4	1	3	40.19	3	3	1	3	26.392	4	1	4	1	3	24.246	4	2	5	4	1	4	36.957	1	1	1	1	1	2	1	1	2	2	39.116	6	6	5	6	4	5	1	3	1	2	6	6	6	2	1	1	1	2	6	2	5	41.336	1	59	1	NA	NA	NA	NA	NA	NA	" "	"United States"	"English"	9	29.527	1	1	1	1	26.241	1	12.034	NA	NA	71	4	3	3	3	4	4	3	4	3	1	4	2.9	3.33333333333333	5	4.3	4.57142857142857	4.42857142857143	3.83333333333333	2.125	23	23	6	8	5	6	5	3	5	2	6.61904761904762	7.14285714285714	6	6.71428571428571
"12/22/15"	"12/22/15"	10.806	1	2	2	3	1	3	3	3	2	2	107.625	2	2	1	2	2	3	1	2	3	3	84.119	5	6	5	5	2	49.159	3	4	4	3	2	3	1	1	2	1	3	3	3	3	2	2	2	1	3	4	73.963	3	2	3	2	2	1	1	2	2	3	1	2	1	3	2	3	66.462	5	5	3	3	56.712	2	2	4	1	1	34.468	4	4	3	2	30.453	2	2	2	1	1	31.413	6	4	5	5	5	5	45.937	1	1	1	2	1	2	2	1	2	1	99.36	4	3	4	2	5	4	5	3	4	3	4	5	4	2	3	4	4	2	3	2	4	69.665	2	28	1	NA	NA	NA	NA	NA	NA	" "	"U.S.A"	"English"	5	34.996	1	1	1	1	26.728	1	15.356	NA	NA	73	3	3	2	2	2	3	3	4	3	4	3	2.6	2.83333333333333	4.6	3.5	3.28571428571429	3.57142857142857	3.66666666666667	2.0625	26	21	4	6	5	5	5	2	4	2	4.95238095238095	4.42857142857143	5	5.42857142857143
"12/19/15"	"12/19/15"	5.682	3	2	4	3	2	3	3	2	3	2	257.835	2	3	2	2	1	3	2	2	1	1	44.573	3	5	5	2	5	22.737	4	2	3	2	1	2	2	2	5	3	4	4	2	5	1	2	3	1	2	2	41.44	3	3	4	1	2	2	1	3	3	2	2	1	2	1	1	1	44.21	3	3	2	3	23.825	3	4	3	2	1	17.661	3	3	2	3	91.57	3	3	3	2	2	12.57	3	5	4	7	4	3	32.456	1	1	2	2	2	1	2	2	2	1	32.809	6	4	4	5	4	5	2	5	4	2	3	5	5	3	4	2	4	2	6	4	2	24.767	1	23	1	NA	NA	NA	NA	NA	NA	" "	"USA"	"English"	8	18.111	1	1	1	1	15.809	1	21.172	NA	NA	78	3	1	2	2	3	3	2	3	3	3	3	2.35	1.83333333333333	4	4	4.57142857142857	3.85714285714286	3.5	2	24	24	7	5	6	7	6	0	2	2	5.47619047619048	6.57142857142857	4.71428571428571	5.14285714285714
"12/19/15"	"12/19/15"	5.245	2	2	2	2	4	3	3	2	3	3	36.231	2	3	2	2	3	3	1	3	3	3	31.136	5	5	5	4	2	21.926	3	3	2	4	1	3	5	4	2	4	4	2	1	2	3	4	2	2	2	2	36.172	2	2	3	1	1	2	1	2	3	1	2	2	1	2	1	1	24.309	3	3	3	2	18.196	1	1	3	2	1	12.761	2	2	1	1	15.763	1	2	3	2	1	13.083	6	6	7	3	3	5	23.701	1	1	1	1	1	2	1	1	1	2	19.879	2	4	3	5	3	3	2	4	5	2	4	5	5	4	4	1	3	5	5	4	4	24.942	2	32	1	NA	NA	NA	NA	NA	NA	" "	"United States"	"English"	1	14.608	1	1	1	1	26.049	1	1.78	1	8.18	93	3	3	3	2	3	3	2	3	3	4	2	2.9	3	4.2	2.95	3.14285714285714	3.28571428571429	2.33333333333333	1.6875	19	15	4	4	3	5	3.66666666666667	2	5	3	5.09523809523809	6	4.85714285714286	4.42857142857143
"12/21/15"	"12/21/15"	38.462	2	3	2	2	3	2	3	3	2	2	8.816	4	3	3	4	3	3	4	4	3	4	9.885	5	5	6	5	5	18.31	3	3	2	3	4	3	3	2	3	3	4	3	3	2	3	3	4	4	3	3	195.529	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13.282	4	3	3	3	73.759	4	3	3	4	2	8.537	4	3	3	4	66.601	3	3	3	2	3	6.077	5	4	4	5	4	5	10.563	2	2	2	2	2	2	2	2	2	2	147.625	4	3	4	4	3	4	3	4	4	3	4	3	3	4	4	4	3	4	3	4	4	19.526	1	22	1	NA	NA	NA	NA	NA	NA	" "	"usa"	"english"	5	15.423	1	1	1	1	14.808	1	1.851	1	2.907	98	2	3	3	2	2	1	2	2	1	1	1	2.2	2.66666666666667	5.2	2.85	2.57142857142857	3	3	1	29	28	5	6	6	5	5.16666666666667	0	0	0	4.76190476190476	4.85714285714286	4.71428571428571	4.71428571428571
"12/19/15"	"12/19/15"	7.437	1	2	3	2	1	2	3	3	2	2	28.337	2	2	2	2	2	2	2	2	2	2	15.13	5	5	5	5	4	7.907	3	2	3	3	3	3	2	2	3	2	3	3	2	3	2	2	2	2	2	3	18.4	3	3	2	2	2	3	2	3	3	2	2	3	2	2	2	2	20.387	4	4	4	3	18.376	3	3	3	3	2	20.159	3	3	3	3	6.194	2	2	2	2	2	8.311	7	7	7	4	3	5	13.026	1	1	1	1	1	1	1	1	1	1	12.298	4	4	4	4	4	5	4	2	3	3	4	4	5	3	2	3	3	3	3	4	4	8.321	1	23	1	1	NA	NA	NA	NA	NA	" "	"United States"	"English"	5	12.616	1	1	1	1	10.096	1	1.962	1	6.795	102	3	2	3	2	2	3	3	3	3	3	3	2.3	2.5	4.8	3.5	3.28571428571429	3.85714285714286	3.33333333333333	2.375	29	22	3	3	3	5	3.5	0	5	5	5.38095238095238	5.14285714285714	5.42857142857143	5.57142857142857
